English Sentence,Alien Translation
"Hello, how are you?","vorp, zirg morp minz? 😂"
I'm from Earth.,minz gxorm 6538-ccz. 🌌
What's your name?,zulr morp minz? 😊
I like this place.,minz zurk zulr gxorm. 🙏
Do you need help?,morp minz zulr zurk? 😲
"Yes, please!","zimp, vorp! 😊"
"No, thank you.","zomp, minz. 🙏"
This is amazing!,zulr morp vorp! 😂
Can you show me the way?,morp minz zulr 6538-ccz? 🌌
"Goodbye, see you later!","zurk, morp minz! 😢"
What time is it?,zulr minz zurp? 😊
Where do you live?,zulr morp minz gxorm? 🌌
This is interesting.,zulr morp zurk. 🙏
I'm feeling sad today.,minz zorp zulr. 😢
That's funny!,zulr morp vorp! 😂
I need some space.,minz zulr gxorm. 🌌
Do you want to play?,morp minz zurk? 😊
"Please, come here.","vorp, minz zurk. 🙏"
Thank you very much.,morp zurk minz. 😊
See you tomorrow.,"zurk, morp minz. 😊"
